Site ID,Site Name,Area,Regional,Emin40 (kWh),Emax (kWh),Kota / Kabupaten
BDG854,CIGANITRIMKT,Area 2,R04_Jawa Barat,528.0,9504.0,SOREANG
BDG346,JLANGGADIREJA,Area 2,R04_Jawa Barat,424.0,7632.0,SOREANG
BDG343,SUKAMUKTIBDG,Area 2,R04_Jawa Barat,424.0,7632.0,SOREANG
SUB538,CIPALIKM102,Area 2,R04_Jawa Barat,424.0,7632.0,SUBANG
BDG339,LEUWEUNGKALENG,Area 2,R04_Jawa Barat,424.0,7632.0,SOREANG
BDS418,GANDASARI,Area 2,R04_Jawa Barat,424.0,7632.0,SOREANG
BDB213,JLSELAKOPI,Area 2,R04_Jawa Barat,308.0,5544.0,SOREANG
BDS209,MARGASIHPERMAI,Area 2,R04_Jawa Barat,424.0,7632.0,SOREANG
BDS130,KPCINAGREK,Area 2,R04_Jawa Barat,424.0,7632.0,SOREANG
BDG278,PASIRANGIN,Area 2,R04_Jawa Barat,424.0,7632.0,SOREANG
BDS270,JLJAKSANARANATA,Area 2,R04_Jawa Barat,424.0,7632.0,SOREANG
BDS255,KOPOBIHBUL,Area 2,R04_Jawa Barat,424.0,7632.0,SOREANG
CJR752,WANGUNSARINARINGGULTBG,Area 2,R04_Jawa Barat,424.0,7632.0,CIANJUR
CJR749,SITURANDUSUKABAKTITBG,Area 2,R04_Jawa Barat,424.0,7632.0,BANDUNG
CJR756,KAMPUNGWANGUNTANGGEUNGCJRTBG,Area 2,R04_Jawa Barat,424.0,7632.0,CIANJUR
BDS021,KCLEBAKWANGIARJASARITBG,Area 2,R04_Jawa Barat,424.0,7632.0,SOREANG
BDS002,KCKOPOKUTAWARINGINPTL,Area 2,R04_Jawa Barat,424.0,7632.0,SOREANG
BDS865,BATUNUMPUKMEKARJAYABJRDMT,Area 2,R04_Jawa Barat,424.0,7632.0,SOREANG
CJR746,GELARWANGICIDAUNCJRTBG,Area 2,R04_Jawa Barat,424.0,7632.0,CIANJUR
BDS029,PANYOCOKANCIWIDEYGHN,Area 2,R04_Jawa Barat,424.0,7632.0,SOREANG
CJR742,PADASUKACIBINONGCJRTBG,Area 2,R04_Jawa Barat,424.0,7632.0,CIANJUR
BDS731,KOMPLEKBUDPSAYATIDMT,Area 2,R04_Jawa Barat,424.0,7632.0,SOREANG
CJR744,MEKARLAKSANACIKADUDMT,Area 2,R04_Jawa Barat,424.0,7632.0,CIANJUR
CJR739,SIRNAJAYATANGGEUNGCJRDMT,Area 2,R04_Jawa Barat,424.0,7632.0,CIANJUR
CJR754,TANJUNGSARIAGRABINTATBG,Area 2,R04_Jawa Barat,424.0,7632.0,CIANJUR
CJR753,SINDANGKERTAPAGELARANTBG,Area 2,R04_Jawa Barat,424.0,7632.0,CIANJUR
CJR740,PUNCAKBARUCIDAUNCJRTBG,Area 2,R04_Jawa Barat,424.0,7632.0,CIANJUR
