Site ID,Site Name,Month,Site Tipe,Daya Master,KWH,RRC Average,User Active Average,Payload,Cost,Total Down,Total RRU
IND045,CIPEDANG,Februari,Tsel Postpaid,10600,1875,297,26,15382,2925736,0,9
IND048,SEGERAN,Februari,Tsel Postpaid,10600,1687,238,18,10633,2632045,0,6
IND058,LEMAHAYU,Februari,Tsel Postpaid,10600,1583,286,23,12311,2470681,0,6
IND038,JUNTINYUAT,Februari,Tsel Postpaid,16500,1834,312,18,16368,2861578,0,6
IND081,JAYAWINANGUN,Februari,Tsel Postpaid,10600,1951,245,16,11652,3045300,0,6
IND005,ERETANWETAN,Februari,Tsel Postpaid,23000,2889,563,44,27543,4506342,0,10
IND014,PEKANDANGAN,Februari,Tsel Postpaid,23000,2838,792,57,32659,4427861,0,8
IND029,KLIWED,Februari,Tsel Postpaid,10600,1733,319,20,15446,2703834,205,6
IND072,RAYACIKEDUNG,Februari,Tsel Postpaid,10600,1754,373,20,19332,2736163,0,7
IND012,KERTASMAYA,Februari,Tsel Postpaid,23000,2628,514,35,23219,4100764,205,7
IND013,GOPALA,Februari,Tsel Postpaid,10600,1745,215,15,10924,2722651,0,6
IND036,BODAS,Februari,Tsel Postpaid,10600,1534,264,22,9757,2394057,22,9
IND069,TELUKAGUNG,Februari,Tsel Postpaid,10600,1838,301,19,14450,2868161,0,6
MJL096,WANGSA,Februari,Tsel Postpaid,10600,2323,473,47,23889,3624771,30,9
MJL031,RAJAGALUH,Februari,Tsel Postpaid,10600,1879,517,40,20191,2931274,0,6
MJL046,KASOKANDEL,Februari,Tsel Postpaid,10600,3226,1353,199,46110,5043762,0,10
MJL027,Balida,Februari,Tsel Postpaid,10600,2439,669,57,32291,3806262,70,7
MJL089,TRAJUTISNA,Februari,Tsel Postpaid,10600,2560,439,57,17720,3994946,0,13
MJL037,JATIMULYA,Februari,Tsel Postpaid,10600,2031,487,47,22801,3168328,0,6
MJL055,MULIAWANGI,Februari,Tsel Postpaid,10600,2663,1075,134,40159,4155857,0,10
MJL053,RAJAWANGI,Februari,Tsel Postpaid,10600,2255,435,71,15417,3519437,39,10
MJL050,DUKUHASEM,Februari,Tsel Postpaid,10600,1869,386,46,17146,2917186,0,6
MJL091,LEUWIMUNDING,Februari,Tsel Postpaid,23000,1940,720,75,27001,3027403,0,10
IND031,SUKRAWETAN,Februari,Tsel Postpaid,16500,1785,214,12,9047,2785685,0,9
MJL061,BOJNGTIREM,Februari,Tsel Postpaid,10600,1528,216,20,10421,2383447,135,9
