Site ID,Site Name,Month,Site Tipe,Daya Master,KWH,RRC Average,User Active Average,Payload,Cost,Total Down,Total RRU
CRB489,GETRAKMOYAN,Maret,TP Postpaid,10600,1748,384,30,24571,2726691,0,5
CMS417,DSNWARUDOYONGDMT,Maret,TP Postpaid,10600,1979,830,62,33476,3145524,0,11
CMS478,DSNSINDANGHURIPDMT,Maret,TP Postpaid,10600,1481,360,32,17806,2353434,0,8
BDK562,JLSUKAMAJUBDG,Maret,TP Postpaid,10600,1391,316,19,17235,2170437,0,5
BDK793,PANGARITAN,Maret,TP Postpaid,7700,1769,583,60,19414,2760128,0,9
BDG682,CIPADUNGKLN,Maret,TP Postpaid,10600,2029,580,42,30257,3105949,0,8
MJL204,KARYAMUKTIMJL,Maret,TP Postpaid,10600,1410,420,32,23068,2199989,0,9
MJL199,BLOKJAMPANG,Maret,TP Postpaid,10600,1642,342,24,19262,2562613,0,6
MJL192,JATIPAMOR,Maret,TP Postpaid,10600,1307,352,27,19734,2039281,205,8
PAN015,SUKAMANAHBOJONGPARIGITBG,Maret,TP Postpaid,10600,1909,443,31,18258,3033249,0,6
CMS371,DSNPASIRKIARADMT,Maret,TP Postpaid,10600,1519,303,19,19806,2413313,0,6
BDB171,BBKNLEMBURTNGH,Maret,TP Postpaid,7700,1847,510,40,15971,2935197,62,10
BDB149,KPNYINGKIR,Maret,TP Postpaid,7700,1353,155,11,8864,2091507,0,3
BDB202,KPCICARITA,Maret,TP Postpaid,10600,2130,505,51,29732,3292616,0,6
BDB191,JLPASIRSERET,Maret,TP Postpaid,10600,1601,406,35,18860,2474873,0,10
BDB183,JLKEBONHIU,Maret,TP Postpaid,10600,1703,560,49,23127,2632686,0,10
BDB123,CIHANJUANGRAHAYU,Maret,TP Postpaid,7700,1990,475,55,25274,3076200,0,10
BDB145,CISASAWI,Maret,TP Postpaid,10600,1637,409,40,27405,2601773,0,5
TSK552,CIBUNGUR,Maret,TP Postpaid,10600,2199,658,75,27339,3494330,2248,11
CJR700,KPCIBEREUMKERTAJAYATANGGEUNGLSP,Maret,TP Postpaid,10600,1760,235,27,16213,2798179,2317,6
SMD179,DSNSIDARAJA,Maret,TP Postpaid,10600,1416,237,25,14467,2209725,73,3
