Site ID,Site Name,Month,Site Tipe,Daya Master,KWH,RRC Average,User Active Average,Payload,Cost,Total RRU
BDB300,CIPTAHARJACIPATATTBG,Januari,TP Postpaid,10600,2109,468,46,16292,3259133,6
BDK614,RELOCHTLPERDANAPTL,Januari,TP Postpaid,10600,2535,1712,172,37885,3882054,11
BDB301,PASIRMALANGCILILINDMT,Januari,TP Postpaid,10600,1879,329,40,15675,2905556,6
BDB322,CIKOPENGKIDANGPANJANGCMI,Januari,TP Postpaid,5500,2083,309,57,17728,2451691,7
BDG895,BUKITRYSLTN,Januari,TP Postpaid,10600,1630,413,27,23215,2495647,5
BDG860,KARANGASIHBDG,Januari,TP Postpaid,10600,875,489,40,26654,1339960,5
BDG815,LWPANJANG,Januari,TP Postpaid,10600,1528,422,31,22299,2339952,9
BDG798,HOTELGEULIS,Januari,TP Postpaid,10600,2155,482,22,11972,3300129,9
BDG800,DIPATIUKUR,Januari,TP Postpaid,10600,2091,556,29,23091,3202120,8
BDG866,JLCIKENDI,Januari,TP Postpaid,10600,2054,272,22,16787,3144692,11
